loc_name,for_name,ruta,barra(bus1),barra(bus1)_for,barra(bus2),barra(bus2)_for,outserv,cpZone,cpArea,cpGrid,cpSubstat,typ_id,GPSlat,GPSlon,Inom,on_off,aUsage
IS3.1,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZBVISF.ElmSubstat\IS3.1.ElmCoup,T3.1,,3,,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZBVISF,,0.0,0.0,0.0,1,dct
IS4.1,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZBVISF.ElmSubstat\IS4.1.ElmCoup,T4.1,,4,,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZBVISF,,0.0,0.0,0.0,1,dct
IS2.2,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZBVISF.ElmSubstat\IS2.2.ElmCoup,69 kV Buena Vista,WBVISF,T2.2,,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZBVISF,,0.0,0.0,0.0,1,dct
IS3.2,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZBVISF.ElmSubstat\IS3.2.ElmCoup,69 kV Buena Vista,WBVISF,T3.2,,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZBVISF,,0.0,0.0,0.0,1,dct
IS4.2,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZBVISF.ElmSubstat\IS4.2.ElmCoup,69 kV Buena Vista,WBVISF,T4.2,,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZBVISF,,0.0,0.0,0.0,1,dct
ZBVISF_ZXCHAF-L1-Q1,ZBVISF_ZXCHAF-L1-Q1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZBVISF.ElmSubstat\ZBVISF_ZXCHAF-L1-Q1.ElmCoup,T2.2,,T2.1,,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZBVISF,,0.0,0.0,0.0,1,cbk
ZBVISF-D1-Q1,ZBVISF-D1-Q1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZBVISF.ElmSubstat\ZBVISF-D1-Q1.ElmCoup,T3.2,,T3.1,,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZBVISF,,0.0,0.0,0.0,1,cbk
CB4,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZBVISF.ElmSubstat\CB4.ElmCoup,T4.2,,T4.1,,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZBVISF,,0.0,0.0,0.0,1,cbk
disconnector(2),,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZCINAF.ElmSubstat\disconnector(2).ElmCoup,69 kV Cítricos Nacionales,WCINAF,WCINAF(3),,0,SUR CERCANO,SUR,CENTRAL 69 kV,ZCINAF,,0.0,0.0,0.0,1,dct
disconnector(1),,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZCINAF.ElmSubstat\disconnector(1).ElmCoup,WCINAF(4),,WCINAF(6),,0,SUR CERCANO,SUR,CENTRAL 69 kV,ZCINAF,,0.0,0.0,0.0,1,dct
ZCINAF-D1-Q1,ZCINAF-D1-Q1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZCINAF.ElmSubstat\ZCINAF-D1-Q1.ElmCoup,WCINAF(3),,WCINAF(4),,0,SUR CERCANO,SUR,CENTRAL 69 kV,ZCINAF,,0.0,0.0,0.0,1,cbk
disconnector(4),,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZCINAF.ElmSubstat\disconnector(4).ElmCoup,69 kV Cítricos Nacionales,WCINAF,1(1),,0,SUR CERCANO,SUR,CENTRAL 69 kV,ZCINAF,,0.0,0.0,0.0,1,dct
disconnector(5),,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZCINAF.ElmSubstat\disconnector(5).ElmCoup,1(2),,1,,0,SUR CERCANO,SUR,CENTRAL 69 kV,ZCINAF,,0.0,0.0,0.0,1,dct
ZCINAF-D1-Q1(1),,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZCINAF.ElmSubstat\ZCINAF-D1-Q1(1).ElmCoup,1(1),,1(2),,0,SUR CERCANO,SUR,CENTRAL 69 kV,ZCINAF,,0.0,0.0,0.0,1,cbk
disconnector(3),,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\disconnector(3).ElmCoup,WDESPF(5),,WDESPF(2),,0,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,ZDESPF,,0.0,0.0,0.0,1,dct
disconnector,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\disconnector.ElmCoup,69 kV Despacho,WDESPF,WDESPF(6),,0,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,ZDESPF,,0.0,0.0,0.0,1,dct
ZDESPF-D1-Q1,ZDESPF-D1-Q1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\ZDESPF-D1-Q1.ElmCoup,WDESPF(6),,WDESPF(5),,0,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,ZDESPF,,0.0,0.0,0.0,1,cbk
disconnector(4),,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\disconnector(4).ElmCoup,69 kV Despacho,WDESPF,1(1),,0,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,ZDESPF,,0.0,0.0,0.0,1,dct
disconnector(5),,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\disconnector(5).ElmCoup,1(2),,1,,0,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,ZDESPF,,0.0,0.0,0.0,1,dct
ZDESPF-D2-Q1,ZDESPF-D2-Q1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\ZDESPF-D2-Q1.ElmCoup,1(1),,1(2),,0,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,ZDESPF,,0.0,0.0,0.0,1,cbk
disconnector(6),,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\disconnector(6).ElmCoup,69 kV Despacho,WDESPF,2(1),,0,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,ZDESPF,,0.0,0.0,0.0,1,dct
disconnector(7),,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\disconnector(7).ElmCoup,2(2),,2,,0,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,ZDESPF,,0.0,0.0,0.0,1,dct
ZDESPF-D3-Q1,ZDESPF-D3-Q1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\ZDESPF-D3-Q1.ElmCoup,2(1),,2(2),,0,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,ZDESPF,,0.0,0.0,0.0,1,cbk
