loc_name,for_name,ruta,barra(bus1),barra(bus1)_for,outserv,cpZone,cpArea,cpGrid,cCategory,cpSubstat,typ_id,GPSlat,GPSlon,Inom,ngnum,pgini,qgini,usetp,av_mode,ip_ctrl,Pmax_uc,Pmin_uc,q_max,q_min,P_max,mode_inp,phtech,bustp,phiini
San Felipe Vapor,G3SFV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\San Felipe Vapor.ElmSym,Terminal San Felipe Vapor,WSFEVK,1,CIBAO NORTE,NORTE,NORTE 138 kV,Diesel,,San Felipe TV,0.0,0.0,5.998167037963867,1,1.000000013351432e-10,0.0,1.0,constv,0,124.73190307617188,0.0,1.0,-1.0,124.73189544677734,DEF,1,PV,0.0
Pimentel 4,G3PIMEN4,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Pimentel 4.ElmSym,Terminal Pimentel 4,WXPI4K,0,CIBAO NORESTE,NORTE,NORTE 138 kV,Diesel,,Pimentel 4,0.0,0.0,1.8964701890945435,2,6.574999809265137,0.0,1.0,constv,0,18.100000381469727,0.0,1.0,-1.0,18.263669967651367,DEF,1,PV,0.0
Los Toros 1,G3LTORO1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\Los Toros.ElmSite\Los Toros 1.ElmSym,Terminal Los Toros,WLTO1K,0,SUR MEDIO,SUR,SUR 69 kV,Hydro,,Los Toros,0.0,0.0,0.4392882287502289,1,3.690000057220459,2.214028835296631,1.0,constq,0,4.724999904632568,0.0,1.0,-1.0,4.724999904632568,DEF,1,PQ,0.0
Los Toros 2,G3LTORO2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\Los Toros.ElmSite\Los Toros 2.ElmSym,Terminal Los Toros,WLTO1K,0,SUR MEDIO,SUR,SUR 69 kV,Hydro,,Los Toros,0.0,0.0,0.4392882287502289,1,2.9100000858306885,0.9564710855484009,1.0,constq,0,4.724999904632568,0.0,1.0,-1.0,4.724999904632568,DEF,1,PQ,0.0
Nizao Najayo,G3NNAJAY,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\Nizao Najayo.ElmSym,Terminal Nizao-Najayo,WXNNAK,1,SUR CERCANO,SUR,SUR 69 kV,Hydro,,Nizao-Najayo,0.0,0.0,0.018056662753224373,1,1.000000013351432e-10,4.843220963168804e-11,1.0,constq,0,0.35100001096725464,0.0,1.0,-1.0,0.10000000149011612,DEF,1,PQ,0.0
Los Anones,G3LANONE,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\Los Anones.ElmSym,Terminal Los Anones,WXLANK,1,SUR CERCANO,SUR,SUR 69 kV,Hydro,,Los Anones,0.0,0.0,0.005972588434815407,1,1.000000013351432e-10,4.843220963168804e-11,1.0,constq,0,0.1160999983549118,0.0,1.0,-1.0,0.11609999090433121,DEF,1,PQ,0.0
Sabana Yegua,G3SYEGUA,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\Sabana Yegua.ElmSite\Sabana Yegua.ElmSym,Terminal Sabana Yegua,WSYEGK,0,SUR MEDIO,SUR,SUR 69 kV,Hydro,,Sabana Yegüa,0.0,0.0,0.6693916320800781,1,11.600000381469727,0.0,1.0,constv,0,12.800000190734863,0.0,1.0,-1.0,4.099999904632568,DEF,1,PV,0.0
Sabaneta,G3SABANE,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\Sabaneta.ElmSite\Sabaneta.ElmSym,Terminal Sabaneta,WSABAK,0,SUR MEDIO,SUR,SUR 69 kV,Hydro,,Sabaneta,0.0,0.0,0.3671947717666626,1,4.269999980926514,0.0,1.0,constv,0,6.360000133514404,0.0,1.0,-1.0,3.4000000953674316,DEF,1,PV,0.0
Magueyal 2,G3MAGUE2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\Magueyal.ElmSite\Magueyal 2.ElmSym,Terminal Magueyal,WMAGUK,1,SUR MEDIO,SUR,SUR 69 kV,Hydro,,Magueyal,0.0,0.0,0.07028611749410629,1,1.000000013351432e-10,4.843220963168804e-11,1.0,constq,0,1.5119999647140503,0.0,1.0,-1.0,1.5119999647140503,DEF,1,PQ,0.0
Magueyal 1,G3MAGUE1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\Magueyal.ElmSite\Magueyal 1.ElmSym,Terminal Magueyal,WMAGUK,1,SUR MEDIO,SUR,SUR 69 kV,Hydro,,Magueyal,0.0,0.0,0.07028611749410629,1,1.000000013351432e-10,4.843220963168804e-11,1.0,constq,0,1.5119999647140503,0.0,1.0,-1.0,1.5119999647140503,DEF,1,PQ,0.0
