Avg(SOCKETS.GPS_LAT_S),SOCKETS.GPS_LONG_S,Min(Puntos_Suministro.PUNTO),Min(Puntos_Suministro.TIPO),Min(Puntos_Suministro.TENSION),Min(Puntos_Suministro.AGENTE)
18.45484,-69.686663,LA CALETA T03,RETIRO,69,EDEESTE
18.4548607,-69.686615,LA CALETA,RETIRO,69 KV,EDEESTE
18.4553889,-70.7621389,PRODUCTOS LINDA,RETIRO,69 KV,EDESUR
18.4554444,-69.6201111,BOCA CHICA,RETIRO,138 KV,EDEESTE
18.45586,-69.93839,ALMACENES UNIDOS SARASOTA,UNR,12.5,EGEHAINA
18.45732,-69.924139,UASD 138 KV T3,RETIRO,138 KV,EDESUR
18.457362,-69.924043,UASD 138 KV T2,RETIRO,138 KV,EDESUR
18.457468,-69.923834,UASD 138 KV T1,RETIRO,138 KV,EDESUR
18.457632,-69.289406,ZF SAN PEDRO AES,RETIRO,69 KV,EDEESTE
18.457788,-69.713079,CARTONERA DEL CARIBE,UNR,12.5 KV,LEAR
18.4579167,-69.288,ZF SAN PEDRO CHENTEC,RETIRO,69 KV,EDEESTE
18.4585981,-69.6196248,SIBA 138,GENERACION,138,SIBA
18.459888,-69.293475,UNIVERSIDAD CENTRAL ESTE (UCE),UNR,12.5,EGEHAINA
18.4607091,-69.7104301,ZF LAS AMERICAS,UNR,69 KV,EGEHAINA
18.461792,-69.314454,SPM 138 T01,RETIRO,138,EDEESTE
18.4619464,-69.9005114,HOTEL JARAGUA,UNR,12.5 KV,EDEESTE
18.461998,-69.314451,SPM 69,RETIRO,69 KV,EDEESTE
18.4625535S,-69.9685864E,CCN LUPERON,UNR,12.5,EGEHAINA
18.4626944,-69.3161111,CESAR IGLESIAS,UNR,69 KV,EGEHAINA
18.462916,-69.937932,BANCO MULTIPLE BHD LEON,UNR,12.5,EGEITABO
18.4630556,-69.3162222,DESTILERIA BRUGAL,UNR,69 KV,GRUPO EÓLICO DOMINICANO
18.46337,-69.66582,BRAVO CENTRO DISTRIBUCIÓN ESTE,UNR,12.5,EDEESTE
18.463512,-69.896198,INVERPLATA,UNR,12.5 KV,EGEHAINA
18.463537,-69.05832,PARQUE FOTOVOLTAICO CUMAYASA 1,GENERACION,138,EFD ECOENER FOTOVOLTAICA DOMINICANA, S.R.L.
18.46367,-69.0585,PARQUE FOTOVOLTAICO CUMAYASA 4,GENERACION,138,RENEWABLE ENERGY WORLD DOMINICUS
18.463768,-69.058314,PARQUE FOTOVOLTAICO CUMAYASA 2,GENERACION,138,EFD ECOENER FOTOVOLTAICA DOMINICANA, S.R.L.
18.4645787,-70.0205662,CAASD 2,RETIRO,69 KV,EDESUR
18.464855,-70.020994,CAASD 1,RETIRO,69 KV,EDESUR
18.4648921S,-69.9297762E,CCN 27 DE FEBRERO,UNR,12.5,EGEHAINA
18.4654722,-70.86875,KM 15 DE AZUA,RETIRO,69 KV,EDESUR
18.465808,-69.968845,MULTICENTRO LA SIRENA AV. LUPERON C2,UNR,12.5,EGEHAINA
18.4659024,-71.0724169,QUITA CORAZA,RETIRO,69,EDESUR
18.4663147,-69.3168777,HARINA DEL HIGUAMO,RETIRO,69 KV,EDEESTE
18.4665057,-69.3318597,SAN PEDRO BIO-ENERGY,CENTRAL,138 KV,SAN PEDRO BIO-ENERGY
18.4669389,-69.9945622,CERVECERIA BOHEMIA,RETIRO,69 KV,EDESUR
18.4672977,-69.99466,FERSAN,UNR,12.5,EGEHID
18.467577,-69.3189948,LOS ORIGENES POWER PLANT,CENTRAL,138 KV,LOS ORIGENES
18.469139,-69.953413,LOS PRADOS T1,RETIRO,138,EDESUR
18.469314,-69.953307,LOS PRADOS T2,RETIRO,138,EDESUR
18.469504,-69.953247,LOS PRADOS T3,RETIRO,138,EDESUR
18.4695278,-70.0219722,BAYONA T1,RETIRO,69 KV,EDESUR
