nombre,ruta,systp,sline,frnom
T.ACERO S1/1C/138/1xF/605 AAAC,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\T.ACERO S1/1C/138/1xF/605 AAAC.TypTow,0,1.0,60.0
P.TUBULAR TVS-1/1C/138/1xF - 559 AAAC,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\P.TUBULAR TVS-1/1C/138/1xF - 559 AAAC.TypTow,0,1.0,60.0
P.TUBULAR TVS-1/1C/138/2xF - 559 AAAC,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\P.TUBULAR TVS-1/1C/138/2xF - 559 AAAC.TypTow,0,1.0,60.0
P.TUBULAR TVS-1/1C/138/2xF - ACCC GDANSK,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\P.TUBULAR TVS-1/1C/138/2xF - ACCC GDANSK.TypTow,0,1.0,60.0
T.ACERO S1/1C/138/2xF - 652 AAAC,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\T.ACERO S1/1C/138/2xF - 652 AAAC.TypTow,0,1.0,60.0
T.ACERO PS(2)/2C/138/1xF/559 AAAC,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\T.ACERO PS(2)/2C/138/1xF/559 AAAC.TypTow,0,1.0,60.0
P.TUBULAR TVS-1/1C/138/3xF - 559 AAAC,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\P.TUBULAR TVS-1/1C/138/3xF - 559 AAAC.TypTow,0,1.0,60.0
T.ACERO PS(2)/2C/450 ACAR/1xF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\T.ACERO PS(2)/2C/450 ACAR/1xF.TypTow,0,1.0,60.0
T.ACERO S2/2C/138/3xF-927.2 AAAC y OPGW,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\T.ACERO S2/2C/138/3xF-927.2 AAAC y OPGW.TypTow,0,1.0,60.0
P.MADERA TP-IG 55 P/69 - 4/0 ACSR,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\P.MADERA TP-IG 55 P/69 - 4/0 ACSR.TypTow,0,1.0,60.0
P.MADERA TP-IG 50 P/69 - 4/0 ACSR,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\P.MADERA TP-IG 50 P/69 - 4/0 ACSR.TypTow,0,1.0,60.0
P.MADERA TP-IG 50 P/69 - 2/0 ACSR,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\P.MADERA TP-IG 50 P/69 - 2/0 ACSR.TypTow,0,1.0,60.0
P.MADERA/69 TH-1G- 2/0 AAAC,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\P.MADERA/69 TH-1G- 2/0 AAAC.TypTow,0,1.0,60.0
P.MADERA/1C/69/1xF - 4/0 AAAC,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\P.MADERA/1C/69/1xF - 4/0 AAAC.TypTow,0,1.0,60.0
P.MADERA TP-IG 50 P/69 2C/F- 559 AAAC,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\P.MADERA TP-IG 50 P/69 2C/F- 559 AAAC.TypTow,0,1.0,60.0
