nombre,ruta,nntap0,strn,utrn_h,utrn_l,uktr,uk0tr,pcutr,pfe,curmg,vecgrp,tap_side,ntpmn,ntpmx,dutap,phitr,r1pu,x1pu,frnom
138/13.8 kV Trafo SIBA 65 MVA,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\138/13.8 kV Trafo SIBA 65 MVA.TypTr2,0,65.0,138.0,13.800000190734863,16.670000076293945,15.0,280.0,0.0,0.0,YNd1,0,-2,2,2.5,0.0,0.004307692404836416,0.16664433479309082,60.0
138/4.16 SA PE Los Mina T1(20MVA),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\138/4.16 SA PE Los Mina T1(20MVA).TypTr2,0,20.0,138.0,4.159999847412109,8.299957275390625,8.299957275390625,83.69999694824219,0.0,0.0,Dyn1,0,-15,15,2.5,0.0,0.004184999968856573,0.08289399743080139,60.0
138/34.5 kV La Victoria (80 MVA),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\138/34.5 kV La Victoria (80 MVA).TypTr2,0,80.0,138.0,34.5,12.799993515014648,11.198100090026855,412.56805419921875,0.0,0.0,YNd11,0,-10,10,1.0,0.0,0.00515710050240159,0.1278960108757019,60.0
138/34.5 kV Trafo Mirasol 120 MVA,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\138/34.5 kV Trafo Mirasol 120 MVA.TypTr2,0,120.0,138.0,34.5,11.987384796142578,10.800000190734863,264.0,0.0,0.0,YNd11,0,-10,10,1.0,0.0,0.002199999988079071,0.1198536604642868,60.0
138/34.5 kV WCSP 2 T1(80 MVA),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\138/34.5 kV WCSP 2 T1(80 MVA).TypTr2,0,80.0,138.0,34.5,12.799993515014648,11.198100090026855,412.56805419921875,0.0,0.0,YNd11,0,-10,10,1.0,0.0,0.00515710050240159,0.1278960108757019,60.0
69/13.8 kV Trafo Pinalito 30.12 MVA,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\69/13.8 kV Trafo Pinalito 30.12 MVA.TypTr2,0,30.1200008392334,69.0,13.800000190734863,10.0,9.0,159.5279998779297,0.0,0.0,YNd1,0,-2,2,2.5,0.0,0.005296414252370596,0.09985964000225067,60.0
69/13.8 kV Trafo Río Blanco 15 MVA,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\69/13.8 kV Trafo Río Blanco 15 MVA.TypTr2,0,15.0,69.0,13.800000190734863,10.0,9.0,159.5279998779297,0.0,0.0,YNd1,0,-4,5,2.0,0.0,0.010635199956595898,0.09943285584449768,60.0
69/12.5 kV Trafo Rincón 10.1 MVA,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\69/12.5 kV Trafo Rincón 10.1 MVA.TypTr2,0,10.100000381469727,69.0,12.5,8.037819862365723,7.199999809265137,119.06999969482422,0.0,0.0,YNd1,0,-2,2,2.5,0.0,0.011789108626544476,0.079508937895298,60.0
69/4.16 kV Trafo Boba 1.25 MVA,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\69/4.16 kV Trafo Boba 1.25 MVA.TypTr2,0,1.25,69.0,4.159999847412109,4.699999809265137,4.230000019073486,5.0,0.0,0.0,YNd1,0,-2,2,2.5,0.0,0.004000000189989805,0.046829476952552795,60.0
69/12.5 Trafo El Salto 14 MVA,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\69/12.5 Trafo El Salto 14 MVA.TypTr2,0,14.0,69.0,12.5,10.0,9.0,70.0,0.0,0.0,YNd1,0,-2,2,2.5,0.0,0.004999999888241291,0.09987492114305496,60.0
69/13.8 kV Trafo La Vega G1 69 MVA,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\69/13.8 kV Trafo La Vega G1 69 MVA.TypTr2,0,69.0,69.0,13.800000190734863,13.166000366210938,11.850000381469727,480.0,0.0,0.0,YNd11,0,-8,8,1.25,0.0,0.006956521887332201,0.13147608935832977,60.0
69/13.8 kV Trafo La Vega G2 69 MVA,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\69/13.8 kV Trafo La Vega G2 69 MVA.TypTr2,0,69.0,69.0,13.800000190734863,13.050000190734863,11.75,480.0,0.0,0.0,YNd11,0,-8,8,1.25,0.0,0.006956521887332201,0.13031445443630219,60.0
69/12.5 kV Trafo Aniana Vargas 0.8 MVA,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\69/12.5 kV Trafo Aniana Vargas 0.8 MVA.TypTr2,0,0.800000011920929,69.0,12.5,10.0,9.0,4.0,0.0,0.0,YNd1,0,-2,2,2.5,0.0,0.004999999888241291,0.09987492114305496,60.0
69/12.5 kV Trafo Jimenoa 14 MVA,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\69/12.5 kV Trafo Jimenoa 14 MVA.TypTr2,0,14.0,69.0,12.5,7.120069980621338,6.400000095367432,70.03079986572266,0.0,0.0,YNd1,0,-2,2,2.5,0.0,0.00500220013782382,0.07102476805448532,60.0
69/12.5 kV Trafo Hatillo 1 10.7 MVA,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\69/12.5 kV Trafo Hatillo 1 10.7 MVA.TypTr2,0,10.699999809265137,69.0,12.5,8.262280464172363,7.429999828338623,44.89099884033203,0.0,0.0,YNd1,0,-4,4,1.5,0.0,0.004195420537143946,0.08251621574163437,60.0
69/12.5 kV Trafo Hatillo 2 14 MVA,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\69/12.5 kV Trafo Hatillo 2 14 MVA.TypTr2,0,24.0,69.0,13.800000190734863,10.0,9.199999809265137,82.0,13.5,0.4000000059604645,YNd11,0,-16,16,0.625,0.0,0.0034166667610406876,0.09994161874055862,60.0
69/13.8 kV Trafo Brazo Derecho 4 MVA,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\69/13.8 kV Trafo Brazo Derecho 4 MVA.TypTr2,0,4.0,69.0,13.800000190734863,8.0,7.199999809265137,32.0,6.5,0.699999988079071,YNd1,0,-2,2,2.5,0.0,0.00800000037997961,0.07959899306297302,60.0
