nombre,ruta,cpZone,cpArea,cpGrid,cpSubstat
WBMPLAE(4),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZMPLAF.ElmSubstat\1.ElmTerm\WBMPLAE(4).StaCubic,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPLAF
WBMPLAE(1),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZMPLAF.ElmSubstat\1(1).ElmTerm\WBMPLAE(1).StaCubic,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPLAF
WBMPLAE(2),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZMPLAF.ElmSubstat\1(1).ElmTerm\WBMPLAE(2).StaCubic,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPLAF
WBMPLAE(1),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZMPLAF.ElmSubstat\1(2).ElmTerm\WBMPLAE(1).StaCubic,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPLAF
WBMPLAE(5),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZMPLAF.ElmSubstat\1(2).ElmTerm\WBMPLAE(5).StaCubic,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPLAF
WBMPLAE(1),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZMPLAF.ElmSubstat\2(6).ElmTerm\WBMPLAE(1).StaCubic,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPLAF
WBMPLAE(1),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZMPLAF.ElmSubstat\2(7).ElmTerm\WBMPLAE(1).StaCubic,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPLAF
WBMPLAE(4),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZMPLAF.ElmSubstat\2(7).ElmTerm\WBMPLAE(4).StaCubic,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPLAF
WBMPLAE(1),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZMPLAF.ElmSubstat\2(8).ElmTerm\WBMPLAE(1).StaCubic,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPLAF
WBMPLAE(5),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZMPLAF.ElmSubstat\2(8).ElmTerm\WBMPLAE(5).StaCubic,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPLAF
WXZFSK(2),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap San Pedro Macorís.ElmTerm\WXZFSK(2).StaCubic,ESTE CERCANO,ESTE,ESTE 69 kV,
WXZFSK(1),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap San Pedro Macorís.ElmTerm\WXZFSK(1).StaCubic,ESTE CERCANO,ESTE,ESTE 69 kV,
Cub_4,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Tap San Pedro Macorís.ElmTerm\Cub_4.StaCubic,ESTE CERCANO,ESTE,ESTE 69 kV,
