loc_name,for_name,ruta,outserv,cpZone,cpArea,cpGrid,cpSubstat
V1-Bayasol,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Bayasol.ElmSite\Planta_Bayasol.ElmComp\V1-Bayasol.StaVmea,0,,,SUR 138 kV,
V Measurement-Girasol Grupo 1,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Girasol.ElmSite\Planta_Girasol Grupo 1.ElmComp\V Measurement-Girasol Grupo 1.StaVmea,0,,,SUR 138 kV,
V Measurement-Girasol Grupo 2,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Girasol.ElmSite\Planta_Girasol Grupo 2.ElmComp\V Measurement-Girasol Grupo 2.StaVmea,0,,,SUR 138 kV,
V Measurement-Santanasol,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Santanasol.ElmSite\Planta_Santanasol.ElmComp\V Measurement-Santanasol.StaVmea,0,,,SUR 138 kV,
Terminal Voltage Meas.,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Calabaza.ElmSite\Planta_Calabaza 1.ElmComp\Terminal Voltage Meas..StaVmea,0,,,SUR 138 kV,
Voltage Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Planta_PS Los Negros.ElmComp\Voltage Measurement.StaVmea,0,,,SUR 138 kV,
Voltage Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Planta_PE Matafongo.ElmComp\Voltage Measurement.StaVmea,0,,,SUR 138 kV,
Voltage Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Planta_PE Matafongo 2.ElmComp\Voltage Measurement.StaVmea,0,,,SUR 138 kV,
VoltageMeasurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Planta_PF Peravia I.ElmComp\VoltageMeasurement.StaVmea,0,,,SUR 138 kV,
VoltageMeasurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Planta_PF Peravia II.ElmComp\VoltageMeasurement.StaVmea,0,,,SUR 138 kV,
Voltage Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Los Mina 6.ElmSite\Voltage Measurement.StaVmea,0,,,CENTRAL 138 kV,
ac Voltage Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Los Mina 6.ElmSite\BESS_Los Mina.ElmComp\ac Voltage Measurement.StaVmea,0,,,CENTRAL 138 kV,
StaVmea-AES BESS,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\AES Andrés.ElmSite\Planta_AES BESS.ElmComp\StaVmea-AES BESS.StaVmea,1,,,CENTRAL 138 kV,
Voltage Measurement-AES TG,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\AES Andrés.ElmSite\Voltage Measurement-AES TG.StaVmea,0,,,CENTRAL 138 kV,
