branch_id,branch_base_id,branch_parallel_index,from_bus,to_bus,circuit_id,branch_type,r_pu,x_pu,fmax_mw,in_service_base,closure_flag,series_parameter_status,thermal_limit_status,closure_flag_is_binary,operational_status,closure_semantics_hint,pypsa_v1_component,pypsa_v1_include,tap_ratio_hint,pypsa_v1_mapping_reason,from_bus_in_buses,to_bus_in_buses,source_sheet,source_row_number
WCC21E__WKQAZE__L2,WCC21E__WKQAZE__L2,1,WCC21E,WKQAZE,L2,line,0.0406181,0.1502276,136.0,0,1,series_parameter_present,positive_thermal_limit,True,out_of_service,binary_switch_state,line,False,,out_of_service_base_case,True,True,e_datred,599
WCCA2F__WXABRF__L1,WCCA2F__WXABRF__L1,1,WCCA2F,WXABRF,L1,line,0.004748,0.00774,43.0,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,line,True,,standard_branch,True,True,e_datred,620
WCCABF__WCCA2F__L1,WCCABF__WCCA2F__L1,1,WCCABF,WCCA2F,L1,line,0.0009908,0.00368445,79.0,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,line,True,,standard_branch,True,True,e_datred,619
WCCABF__WZFBAF__L1,WCCABF__WZFBAF__L1,1,WCCABF,WZFBAF,L1,line,0.0283,0.04613,43.0,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,line,True,,standard_branch,True,True,e_datred,623
WCEMEE__WBERSF__T1,WCEMEE__WBERSF__T1,1,WCEMEE,WBERSF,T1,transformer,0.0125,0.2747158,40.0,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,transformer,True,,standard_branch,True,True,e_datred,764
WCEMEE__WSPM2E__L1,WCEMEE__WSPM2E__L1,1,WCEMEE,WSPM2E,L1,line,0.00052091,0.00294763,316.56924,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,line,True,,standard_branch,True,True,e_datred,763
WCESPF__WXESPF__L1,WCESPF__WXESPF__L1,1,WCESPF,WXESPF,L1,line,0.00116,0.00209,43.0,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,line,True,,standard_branch,True,True,e_datred,395
WCLUIE__WSPM2E__L1,WCLUIE__WSPM2E__L1,1,WCLUIE,WSPM2E,L1,line,0.00911088,0.05171149,317.0,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,line,True,,standard_branch,True,True,e_datred,272
WCNPEE__WMETRE__L1,WCNPEE__WMETRE__L1,1,WCNPEE,WMETRE,L1,line,0.00098029,0.00496036,317.0,0,1,series_parameter_present,positive_thermal_limit,True,out_of_service,binary_switch_state,line,False,,out_of_service_base_case,True,True,e_datred,26
WCNPEE__WPARAE__L1,WCNPEE__WPARAE__L1,1,WCNPEE,WPARAE,L1,line,0.00211375,0.010695779999999998,317.0,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,line,True,,standard_branch,True,True,e_datred,27
