loc_name,for_name,ruta,S_nom_MVA,U_AT_kV,U_BT_kV,uk_pct,ukr_pct,Pcu_kW,Pfe_kW,i0_pct,grupo,con_AT,con_BT,tap_lado,tap_dU_pct,tap_fase_deg,tap_neutro,tap_min,tap_max,f_Hz
154/11 kV Trafo KARPOWERSHIP 62.5 MVA,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\154/11 kV Trafo KARPOWERSHIP 62.5 MVA.TypTr2,62.5,154.0,11.0,17.479999542236328,0.5,312.5,0.0,0.0,YNd11,YN,D,0,1.25,0.0,0,-12,12,50.0
154/15 kV Trafo KARPOWERSHIP,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\154/15 kV Trafo KARPOWERSHIP.TypTr2,100.0,154.0,15.0,17.0,0.3199999928474426,320.0,46.0,0.4000000059604645,YNd11,YN,D,0,1.25,0.0,0,-12,12,50.0
138/4.2 kV Trafo Palenque 1 30 MVA,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\138/4.2 kV Trafo Palenque 1 30 MVA.TypTr2,30.0,138.0,4.199999809265137,13.670000076293945,0.5,150.0,0.0,0.0,YNyn0,YN,YN,0,1.0,0.0,0,-13,13,60.0
138/4.2 kV Trafo Palenque 2 30 MVA,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\138/4.2 kV Trafo Palenque 2 30 MVA.TypTr2,30.0,138.0,4.199999809265137,13.670000076293945,0.5,150.0,0.0,0.0,YNyn0,YN,YN,0,1.0,0.0,0,-13,13,60.0
138/69 kV Cruce de Cabral 2 T1 (75 MVA),,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\138/69 kV Cruce de Cabral 2 T1 (75 MVA).TypTr2,75.0,138.0,69.0,9.039999961853027,0.5,375.0,0.0,0.0,YNyn0,YN,YN,0,1.0,0.0,12,1,23,60.0
138/69 kV San Juan 2 T1 75 MVA,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\138/69 kV San Juan 2 T1 75 MVA.TypTr2,75.0,138.0,69.0,9.029999732971191,0.5,375.0,0.0,0.0,YNyn0,YN,YN,0,1.0,0.0,11,1,23,60.0
138/69 kV Pizarrete T1 (150 MVA),,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\138/69 kV Pizarrete T1 (150 MVA).TypTr2,150.0,138.0,69.0,12.390000343322754,0.5,750.0,0.0,0.0,YNyn0,YN,YN,0,1.0,0.0,12,1,23,60.0
138/34.5 kV Trafo Matafongo 55 MVA,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\138/34.5 kV Trafo Matafongo 55 MVA.TypTr2,55.0,138.0,34.5,15.402728080749512,0.28999996185302734,159.49998474121094,0.0,0.0,YNd11,YN,D,0,1.25,0.0,0,-8,8,60.0
138/34.5 kV Trafo Bayasol 60 MVA,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\138/34.5 kV Trafo Bayasol 60 MVA.TypTr2,60.0,138.0,34.5,12.369999885559082,0.40894168615341187,245.36500549316406,51.13800048828125,0.28999999165534973,YNd11,YN,D,0,1.5,0.0,0,-7,7,60.0
138/34.5 kV Trafo Girasol 75 MVA,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\138/34.5 kV Trafo Girasol 75 MVA.TypTr2,75.0,138.0,34.5,10.619999885559082,0.5,375.0,0.0,0.0,YNd11,YN,D,0,1.0,0.0,0,-13,13,60.0
