generator_id,generator_name,generator_id_legacy,code_changed,bus_id,bus_resolution_method,bus_id_in_buses,enabled_flag,pmax_mw,pmin_mw,cvp,effective_pmax_mw,effective_pmin_mw,effective_cvp,limits_sanitization_method,cost_sanitization_method,technology_group,ssaa,mrpf,mrsf,factora,heat_parameter,pgn_mw,source_sheet_primary,source_row_number,source_name_sheet,factor_node_bus_id,factor_node_smc_point_id,centrales_terminal_bus_id
G3PAK01,POWERSHIP AZUA KPS 01,,,WPAK0E,factor_node_injection,True,1,220.8,36.0,,220.8,36.0,,unchanged,missing,4,0.02,,,,,,e_datgen,144,Reporte de Disponibilidad,WPAK0E,3413-PAK0E-T01,
G3PAK26,POWERSHIP AZUA KPS 26,,,WPAK2E,factor_node_injection,True,1,108.0,12.0,8295.48541133939,108.0,12.0,8295.48541133939,unchanged,source_e_datgen,1,0.02,4.848,,488.2497014364811,,,e_datgen,145,Reporte de Disponibilidad,WPAK2E,3403-PAK1E-F01,
G3PAK60,POWERSHIP AZUA KPS 60,,,WPAK6E,factor_node_injection,True,1,77.5,25.0,8242.827755317106,77.5,25.0,8242.827755317106,unchanged,source_e_datgen,1,0.02,3.635,,786.8229389185581,,,e_datgen,146,Reporte de Disponibilidad,WPAK6E,3404-PAK2E-T01,
G3PALAMA,PALAMARA,G3PALAMA,NO,WGPALF,factor_node_injection,True,1,95.0,21.2,8559.216915491097,95.0,21.2,8559.216915491097,unchanged,source_e_datgen,1,0.034,4.8,20.0,28.02984481,,,e_datgen,82,MAPEO CENTRALES DE GENERACION,WGPALF,1231-PALA-01,
G3PALENQ,PALENQUE,G3PALENQ,NO,WPALBE,factor_node_injection,True,1,24.0,5.5,8536.99629317183,24.0,5.5,8536.99629317183,unchanged,source_e_datgen,1,0.02,1.125,6.0,57.179500000000004,,,e_datgen,139,MAPEO CENTRALES DE GENERACION,WPALBE,3345-PALEE-F02,WPAQ1K
G3PALOM1,PALOMINO 1,G3PALOM1,NO,WPLM1E,factor_node_injection,True,1,40.0,20.0,0.0,40.0,20.0,0.0,unchanged,source_e_datgen,2,0.02,6.0,,6314.946619217081,3.0941,40.8,e_datgen,45,MAPEO CENTRALES DE GENERACION,WPLM1E,3331-PALO-01,WPLM1K
G3PALOM2,PALOMINO 2,G3PALOM2,NO,WPLM1E,factor_node_injection,True,1,0.0,0.0,0.0,0.0,0.0,0.0,unchanged,source_e_datgen,2,0.02,5.0,,5633.823529411764,3.0941,40.8,e_datgen,46,MAPEO CENTRALES DE GENERACION,WPLM1E,3332-PALO-02,WPLM2K
G3PCATA1,PUNTA CATALINA 1,,,WCTP1D,factor_node_injection,True,1,300.0,250.0,1915.8710228097616,300.0,250.0,1915.8710228097616,unchanged,source_e_datgen,1,0.1,7.97,,25761.869158878504,4.6977,391.0,e_datgen,140,Reporte de Disponibilidad,WCTP1D,3352-CTPCD-T01,WPCA1K
G3PCATA2,PUNTA CATALINA 2,,,WCTP2D,factor_node_injection,True,1,370.19,277.0,1871.2748340582184,370.19,277.0,1871.2748340582184,unchanged,source_e_datgen,1,0.1,10.19,,11675.046210720886,4.6977,391.0,e_datgen,141,Reporte de Disponibilidad,WCTP2D,3353-CTPCD-T02,WPCA2K
G3PEACLA,PARQUE EÓLICO AGUA CLARA,,,WACLAE,factor_node_injection,True,1,50.0,0.0,0.0,50.0,0.0,0.0,unchanged,source_e_datgen,4,0.02,,,,,,e_datgen,54,Reporte de Disponibilidad,WACLAE,2363-PEACE-T01,
G3PEESPE,PARQUE EÓLICO ESPERANZA,,,WESP1E,site_name_inferred_from_factor_node_peer,True,1,49.5,0.0,0.0,49.5,0.0,0.0,unchanged,source_e_datgen,4,0.02,,,,,,e_datgen,57,Reporte de Disponibilidad,,,
G3PEGUAN,PARQUE EÓLICO GUANILLO,,,WGNLLE,factor_node_injection,True,1,50.0,0.0,0.0,50.0,0.0,0.0,unchanged,source_e_datgen,4,0.02,,,,,,e_datgen,52,Reporte de Disponibilidad,WGNLLE,2362-PEGUE-T01,
G3PELAR2,PARQUE EOLICO LARIMAR II,G3PELAR2,NO,WSLCOE,factor_node_injection,True,1,48.3,0.0,0.0,48.3,0.0,0.0,unchanged,source_e_datgen,4,0.02,,,,,,e_datgen,51,MAPEO CENTRALES DE GENERACION,WSLCOE,3276-PELAK-F02,
G3PELARI,PARQUE EOLICO LARIMAR,G3PELARI,NO,WSLCOE,factor_node_injection,True,1,49.5,0.0,0.0,49.5,0.0,0.0,unchanged,source_e_datgen,4,0.02,,,,,,e_datgen,50,MAPEO CENTRALES DE GENERACION,WSLCOE,3266-LCOC-01,
G3PELGU2,PARQUE EÓLICO LOS GUZMANCITOS 2,,,WLGUZE,factor_node_injection,True,1,46.8,0.0,0.0,46.8,0.0,0.0,unchanged,source_e_datgen,4,0.02,,,,,,e_datgen,56,Reporte de Disponibilidad,WLGUZE,2872-PELGE-T02,
G3PELGUZ,PARQUE EÓLICO LOS GUZMANCITOS,,,WLGUZE,factor_node_injection,True,1,48.0,0.0,0.0,48.0,0.0,0.0,unchanged,source_e_datgen,4,0.02,,,,,,e_datgen,55,Reporte de Disponibilidad,WLGUZE,2872-PELGE-T01,
G3PEMATA,PARQUE EÓLICO DE MATAFONGO,,,WMTFNE,factor_node_injection,True,1,49.6,0.0,0.0,49.6,0.0,0.0,unchanged,source_e_datgen,4,0.02,,,,,,e_datgen,53,Reporte de Disponibilidad,WMTFNE,3381-PEMAE-T01,
G3PEMCP,PARQUE ENERGETICO LOS MINA CC PARCIAL,G3PELMCP,SI,WLMI7E,factor_node_injection,True,1,0.0,93.7,8632.440039246087,0.0,0.0,8632.440039246087,zero_pmax_forces_zero_pmin,source_e_datgen,1,0.0185,11.4,20.25,3990.566037735849,5.30289090170593,246.2,e_datgen,137,MAPEO CENTRALES DE GENERACION,WLMI7E,1182-LMI7E-T01,
